ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
kt 0 0 0 0 0 0 1 5 9 15 19 3
LG 0 1 0 0 2 0 0 4 0 7 7 2
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
SK 1 2 0 0 0 0 4 0 0 7 13 0
KIA 0 0 1 0 0 0 3 0 0 4 6 2
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
µÎ»ê 1 0 0 3 4 0 0 0 0 8 12 0
·Ôµ¥ 0 0 1 0 0 0 0 1 1 3 8 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
ÇÑÈ­ 0 0 0 0 1 1 0 0 0 2 8 0
LG 0 0 0 0 0 0 0 1 0 1 5 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
SK 0 0 2 0 0 2 0 0 0 4 11 0
KIA 0 0 0 0 0 3 0 0 0 3 8 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
µÎ»ê 0 0 0 0 0 0 2 0 1 3 7 0
NC 1 0 0 0 1 0 0 0 0 2 9 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
LG 0 0 0 1 0 0 0 2 1 4 8 0
»ï¼º 4 0 0 0 2 1 0 1 - 8 15 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
³Ø¼¾ 1 0 0 2 0 1 0 0 1 5 13 0
kt 1 0 0 0 2 0 0 0 0 3 6 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
LG 0 0 0 0 2 2 1 0 3 8 14 2
»ï¼º 0 0 0 0 0 1 2 0 1 4 11 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
·Ôµ¥ 0 0 0 1 0 1 0 0 0 2 11 0
ÇÑÈ­ 0 0 0 0 0 0 0 0 0 0 2 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
µÎ»ê 0 0 2 1 2 0 1 0 0 6 12 0
KIA 0 0 0 0 0 0 0 0 0 0 6 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
kt 1 0 0 0 0 2 0 0 0 3 7 1
KIA 0 1 0 2 0 2 1 2 - 8 14 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
LG 3 0 0 0 5 2 0 1 0 11 16 1
NC 3 0 2 0 1 0 1 0 2 9 13 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
»ï¼º 0 3 1 0 0 0 1 2 0 0 7 12 1
ÇÑÈ­ 0 0 4 0 0 1 2 0 0 1 8 12 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
³Ø¼¾ 0 0 1 0 0 1 0 0 0 2 9 1
·Ôµ¥ 0 1 3 0 0 2 0 1 - 7 11 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
ÇÑÈ­ 0 0 0 0 0 1 0 0 4 5 12 0
KIA 0 0 0 0 0 0 0 0 0 0 7 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
kt 0 0 2 0 1 1 0 0 0 4 11 1
µÎ»ê 0 0 0 3 2 0 0 1 - 6 11 1
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
LG 0 1 0 0 0 0 0 0 2 3 5 1
NC 0 0 0 0 0 1 0 0 3 4 6 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
ÇÑÈ­ 1 0 3 2 1 0 0 0 1 8 10 1
·Ôµ¥ 1 4 0 0 0 6 0 0 - 11 14 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
LG 0 0 0 0 0 0 0 0 0 0 5 0
KIA 0 0 2 3 0 1 0 0 - 6 10 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
NC 0 1 0 1 2 0 1 1 5 11 16 0
»ï¼º 0 1 0 0 0 0 0 0 0 1 5 2
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
µÎ»ê 0 0 0 0 1 0 0 1 0 2 9 0
kt 3 0 0 0 0 0 0 0 - 3 5 0
ÆÀ¸í 1 2 3 4 5 6 7 8 9 10 11 12 R H E
KIA 0 0 0 1 0 0 2 3 1 7 7 3
